APYGARDOS_NR,APYGARDOS_PAVADINIMAS,APYLINKES_NR,APYLINKES_PAVADINIMAS,RINKEJU_SKAICIUS,VISO_DALYVAVO,BALSADEZEJE_GALIOJANTYS,BALSADEZEJE_NEGALIOJANTYS,PASTU_GALIOJANTYS,PASTU_NEGALIOJANTYS,VARDAS,PAVARDE,PARTIJA,BALSU_BALSADEZEJE,BALSU_PASTU,BALSU_VISO,PAPILDOMO_PROTOKOLO_POZYMIS,RKND_V_AR_ISSIKELE_PATS,RPL_UNIKALUS_NUMERIS,SAV,Sugeneravimo data
1,Akmenės rajono,8,Daubiškių,531,254,187,1,66,0,ARVYDAS,JUOZAITIS,,8,0,8,,T,1008,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,8,Daubiškių,531,254,187,1,66,0,VALENTINAS,MAZURONIS,,1,0,1,,T,1008,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,8,Daubiškių,531,254,187,1,66,0,NAGLIS,PUTEIKIS,,1,0,1,,T,1008,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,8,Daubiškių,531,254,187,1,66,0,VALDEMAR,TOMAŠEVSKI,,0,0,0,,T,1008,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,9,Kairiškių,272,135,100,0,35,0,SAULIUS,SKVERNELIS,,31,9,40,,T,1009,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,9,Kairiškių,272,135,100,0,35,0,GITANAS,NAUSĖDA,,31,7,38,,T,1009,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,9,Kairiškių,272,135,100,0,35,0,INGRIDA,ŠIMONYTĖ,,22,10,32,,T,1009,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,9,Kairiškių,272,135,100,0,35,0,VYTENIS POVILAS,ANDRIUKAITIS,,7,5,12,,T,1009,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,9,Kairiškių,272,135,100,0,35,0,MINDAUGAS,PUIDOKAS,,5,3,8,,T,1009,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,9,Kairiškių,272,135,100,0,35,0,ARVYDAS,JUOZAITIS,,3,1,4,,T,1009,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,9,Kairiškių,272,135,100,0,35,0,VALDEMAR,TOMAŠEVSKI,,1,0,1,,T,1009,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,9,Kairiškių,272,135,100,0,35,0,VALENTINAS,MAZURONIS,,0,0,0,,T,1009,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,9,Kairiškių,272,135,100,0,35,0,NAGLIS,PUTEIKIS,,0,0,0,,T,1009,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,10,Gulbinų,788,428,337,5,86,0,SAULIUS,SKVERNELIS,,131,35,166,,T,1010,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,10,Gulbinų,788,428,337,5,86,0,GITANAS,NAUSĖDA,,90,17,107,,T,1010,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,10,Gulbinų,788,428,337,5,86,0,INGRIDA,ŠIMONYTĖ,,63,20,83,,T,1010,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,10,Gulbinų,788,428,337,5,86,0,VYTENIS POVILAS,ANDRIUKAITIS,,20,7,27,,T,1010,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,10,Gulbinų,788,428,337,5,86,0,ARVYDAS,JUOZAITIS,,17,1,18,,T,1010,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,10,Gulbinų,788,428,337,5,86,0,MINDAUGAS,PUIDOKAS,,11,3,14,,T,1010,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,10,Gulbinų,788,428,337,5,86,0,VALENTINAS,MAZURONIS,,4,2,6,,T,1010,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,10,Gulbinų,788,428,337,5,86,0,NAGLIS,PUTEIKIS,,1,1,2,,T,1010,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,10,Gulbinų,788,428,337,5,86,0,VALDEMAR,TOMAŠEVSKI,,0,0,0,,T,1010,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,11,Kivylių,322,204,156,1,47,0,SAULIUS,SKVERNELIS,,65,16,81,,T,1011,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,11,Kivylių,322,204,156,1,47,0,GITANAS,NAUSĖDA,,46,18,64,,T,1011,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,11,Kivylių,322,204,156,1,47,0,INGRIDA,ŠIMONYTĖ,,22,11,33,,T,1011,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,11,Kivylių,322,204,156,1,47,0,VYTENIS POVILAS,ANDRIUKAITIS,,9,1,10,,T,1011,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,11,Kivylių,322,204,156,1,47,0,MINDAUGAS,PUIDOKAS,,4,1,5,,T,1011,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,11,Kivylių,322,204,156,1,47,0,ARVYDAS,JUOZAITIS,,4,0,4,,T,1011,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,11,Kivylių,322,204,156,1,47,0,VALENTINAS,MAZURONIS,,3,0,3,,T,1011,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,11,Kivylių,322,204,156,1,47,0,NAGLIS,PUTEIKIS,,3,0,3,,T,1011,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,11,Kivylių,322,204,156,1,47,0,VALDEMAR,TOMAŠEVSKI,,0,0,0,,T,1011,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,12,Kruopių,500,298,242,2,54,0,SAULIUS,SKVERNELIS,,94,24,118,,T,1012,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,12,Kruopių,500,298,242,2,54,0,GITANAS,NAUSĖDA,,57,15,72,,T,1012,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,12,Kruopių,500,298,242,2,54,0,INGRIDA,ŠIMONYTĖ,,43,11,54,,T,1012,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,12,Kruopių,500,298,242,2,54,0,VYTENIS POVILAS,ANDRIUKAITIS,,22,2,24,,T,1012,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,12,Kruopių,500,298,242,2,54,0,ARVYDAS,JUOZAITIS,,17,1,18,,T,1012,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,12,Kruopių,500,298,242,2,54,0,NAGLIS,PUTEIKIS,,4,0,4,,T,1012,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,12,Kruopių,500,298,242,2,54,0,MINDAUGAS,PUIDOKAS,,4,0,4,,T,1012,Akmenės rajono savivaldybė,2019-05-16 15:45
